# Claim-Evidence Ledger — franken-engine.claim-evidence-ledger.v1 (CEI H.1, bd-sde5e.8.1)
# Merkle Mountain Range (RFC-6962) root over one leaf per claim:
#   (claim_id, asserted_state, evidence_tier, artifact_content_hash, receipt_hash)
# Editing a matrix row or a committed evidence manifest changes a leaf, hence the
# root: the gate then fails closed until the root is regenerated against the change.
# Regenerate (only after an intentional, evidence-consistent change):
#   cargo run -q -p frankenengine-engine --bin franken_claim_evidence_ledger -- generate
# Verify (gate): ./scripts/run_claim_evidence_ledger_gate.sh ci
schema franken-engine.claim-evidence-ledger.v1
as_of_unix 1781986547
root 1007ad7b4854f57647a70c577837612b34ed9adb9744143676c578340a05cbb2
leaf_count 26
leaves_digest bcc059cd372d96d40aa83848526ef8d55aab78d46e46c9145e953982b5af589a
# leaf <claim_id> <asserted_state> <evidence_tier> <artifact_content_hash> <receipt_hash> <leaf_hash>
leaf FE-CLAIM-010 target asserted 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 931acf1d95a1f3ec4bcfc0d8f4e3147a784216099764b24e509f461bd7f5e2c5
leaf FE-CLAIM-011 observed reproduced f23489738a6bcde4555d74b4dff71f5cf1fe98f7043d416ef8a95f7c00afe6b9 ee9aa23712f2eb266173ed7b854dd05da14ac9545ec2c0d5969f6a7b63d37364 ddf85620774f7c3767263b4601ee1f584a2f48f52f0648a4269e602004afead5
leaf FE-CLAIM-012 target asserted 88e867f8b08673f17b0f2992c7790bcce83943f47f761e548586e533f212275e 31bdb31dc9ad8544c869f2076c399e37c23b095388c52368d6337e81d373212f a9be97f436242510cf3af5a94dda27889c42abe3a1c379f2a7c98150934236b9
leaf FE-CLAIM-013 observed reproduced 6ab7300c9461ea3463988fccda879ea24a97f2d38b8595491fae450c1a3c2480 acae643ed4f211ade806feeb3b5d4b800869b22dfad0db0eed9eae16f5529837 53b5918fe42bb1b142053958c5801b5960d125d32f9210ce50cec8ceb260f2d9
leaf FE-CLAIM-014 observed reproduced 4d7a9624bd6aa7a4cc90b8124915d7b67df53052a5505181c2f3702c6cfb5a41 bc562b23b310e841b7787beb0a92ce5a717f292095123681458f7562344c11c2 4d547e1b707efce7c1ad52796bde35cb8ec087ed60c417f81334234beb2d3388
leaf FE-CLAIM-015 observed reproduced 72f018a95578dd2b470e6fd9e69cd2da21bb366bb057754e9516b348f5e9e097 77cba4f61e6d60adef679c600d247c3607e97936a62ae26702cdc38324d148bf 175586bdf9e7b9e33caaf3790a3e1818e497b44554d94df597a154825271b89a
leaf FE-CLAIM-016 hypothesis unbacked 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 f59aa7df27987f954213ce1707da63a93ee2c04e7e0c45d6419a7107c80a6d70
leaf FE-CLAIM-017 hypothesis unbacked 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 a803b1b79295eb1d8bfe49586949e1789f70309df7cb32804dca1198db38a41e
leaf FE-CLAIM-018 hypothesis unbacked 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 20b22b452ed73e4ed9874b4d4fa7c60d2ceefc1da37166f7e79c1e1a9b4c6974
leaf FE-CLAIM-019 hypothesis unbacked 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 d84dfd590f19a5c2fd1f83d596a845c8255489c81f4de1d0b677cc293258b220
leaf FE-CLAIM-020 hypothesis unbacked 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 519c67bcbe073780bdad8c02fb61f2bad9e7a3b3b27bb5053ba201a67e0375a5
leaf FE-CLAIM-021 hypothesis unbacked 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 1e094a154b0f3c17f42865cda6f1bc12c1d5e6129de6e5c577ef623303a7dcec
leaf FE-CLAIM-022 observed asserted eae1a91ac0fcc27eb8e9b3f29918dab10d4d4e6d26a79a503ec786ed0be94395 31bdb31dc9ad8544c869f2076c399e37c23b095388c52368d6337e81d373212f 51dfa25c3aa7290ac4b4ba2cb3f7ffb3ec81c965aed4fb2cf1c5e7a4e67fe4a7
leaf FE-CLAIM-023 observed asserted c82df685c2d9fee8c0a157bcfae63caed04dce97825f31e6de9bfde9d942957f 31bdb31dc9ad8544c869f2076c399e37c23b095388c52368d6337e81d373212f b61b351b14e9c1687f3778636c20d6a2a2ada6e93df3aec32fd6bad7566d9cfd
leaf FE-CLAIM-024 observed reproduced ab6a33e78c92b42e2591cbb0213422480a54d964c6f17ea80a4173216be50198 00839adfdc0983d442785343b0e2f85da66549039a877a527dc1ac6fe98cd235 501bfd5b526b9bff2e444503fdafb89c9efbf8ab1bb95c356a7bfc9ba152eb55
leaf FE-CLAIM-TEST262 target unbacked 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 677eda1b6f35a5d2bab16919617517d2f1be64023726b3d14772d87f779a43b5
